date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:16	40558/40558	---M-Z	200	added ('OK')	text/html	etag:%223c61586-9e6e-613ccd32da3c4-gzip%22	https://bootstrapget.com/demos/cube-admin-template/graph-widgets.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/graph-widgets.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:16	44139/44139	---M-Z	200	added ('OK')	text/html	etag:%223c61592-ac6b-613ccd32daf7c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/accordions.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/accordions.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:16	36794/36794	---M-Z	200	added ('OK')	text/html	etag:%223c61596-8fba-613ccd32db364-gzip%22	https://bootstrapget.com/demos/cube-admin-template/alerts.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/alerts.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:16	34908/34908	---M-Z	200	added ('OK')	text/html	etag:%223c61599-885c-613ccd32db364-gzip%22	https://bootstrapget.com/demos/cube-admin-template/avatars.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/avatars.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:17	55286/55286	---M-Z	200	added ('OK')	text/html	etag:%223c60031-d7f6-613ccd32b0bb0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/buttons.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/buttons.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:17	35937/35937	---M-Z	200	added ('OK')	text/html	etag:%223c61597-8c61-613ccd32db364-gzip%22	https://bootstrapget.com/demos/cube-admin-template/badges.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/badges.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:17	38147/38147	---M-Z	200	added ('OK')	text/html	etag:%223c6001c-9503-613ccd32af828-gzip%22	https://bootstrapget.com/demos/cube-admin-template/cards.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/cards.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:17	45399/45399	---M-Z	200	added ('OK')	text/html	etag:%223c6159a-b157-613ccd32db74c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/advanced-cards.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/advanced-cards.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:18	35213/35213	---M-Z	200	added ('OK')	text/html	etag:%223c60028-898d-613ccd32b03e0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/carousel.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/carousel.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:18	39829/39829	---M-Z	200	added ('OK')	text/html	etag:%223c61587-9b95-613ccd32da3c4-gzip%22	https://bootstrapget.com/demos/cube-admin-template/dropdowns.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/dropdowns.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:18	220633/220633	---M-Z	200	added ('OK')	text/html	etag:%223c6001b-35dd9-613ccd32af828-gzip%22	https://bootstrapget.com/demos/cube-admin-template/icons.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/icons.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:18	47526/47526	---M-Z	200	added ('OK')	text/html	etag:%223c60035-b9a6-613ccd32b0f98-gzip%22	https://bootstrapget.com/demos/cube-admin-template/list-items.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/list-items.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:19	51577/51577	---M-Z	200	added ('OK')	text/html	etag:%223c6159b-c979-613ccd32db74c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/modals.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/modals.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:19	38724/38724	---M-Z	200	added ('OK')	text/html	etag:%223c6002c-9744-613ccd32b07c8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/offcanvas.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/offcanvas.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:19	28423/28423	---M-Z	200	added ('OK')	text/html	etag:%223c61598-6f07-613ccd32db364-gzip%22	https://bootstrapget.com/demos/cube-admin-template/placeholders.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/placeholders.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:19	37721/37721	---M-Z	200	added ('OK')	text/html	etag:%223c61589-9359-613ccd32da3c4-gzip%22	https://bootstrapget.com/demos/cube-admin-template/progress.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/progress.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:20	25958/25958	---M-Z	200	added ('OK')	text/html	etag:%223c6001f-6566-613ccd32afc10-gzip%22	https://bootstrapget.com/demos/cube-admin-template/popovers.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/popovers.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:20	31917/31917	---M-Z	200	added ('OK')	text/html	etag:%223c6002f-7cad-613ccd32b07c8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/spinners.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/spinners.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:20	64191/64191	---M-Z	200	added ('OK')	text/html	etag:%223c6002a-fabf-613ccd32b03e0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/tabs.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/tabs.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:20	37177/37177	---M-Z	200	added ('OK')	text/html	etag:%223c6159c-9139-613ccd32db74c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/toasts.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/toasts.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:20	34390/34390	---M-Z	200	added ('OK')	text/html	etag:%223c60020-8656-613ccd32afc10-gzip%22	https://bootstrapget.com/demos/cube-admin-template/tooltips.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/tooltips.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:21	41309/41309	---M-Z	200	added ('OK')	text/html	etag:%223c6159e-a15d-613ccd32db74c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/typography.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/typography.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:21	41705/41705	---M-Z	200	added ('OK')	text/html	etag:%223c615a0-a2e9-613ccd32dbb34-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-inputs.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-inputs.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:21	33305/33305	---M-Z	200	added ('OK')	text/html	etag:%223c60024-8219-613ccd32afff8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/form-checkbox-radio.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/form-checkbox-radio.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
